Иероглиф,Основное значение,Дополнительное значение,Примечание
一,один,,
乙,второй,второй пункт,
二,два,,
十,десять,,
丁,четвёртый небесный ствол,взрослый мужчина,
厂,завод,,
七,семь,,
卜,гадать,,
八,восемь,,
人,человек,,
入,входить,,
儿,ребёнок,,
匕,большая ложка,,
几,несколько,,
九,девять,,
刁,хитрый,,
了,показатель завершённости,изменение состояния,служебный знак; значение зависит от конструкции
刀,нож,,
力,сила,,
乃,именно,тогда; только тогда,
又,снова,,
三,три,,
干,сухой,делать; работать,упрощение 乾 / 幹
于,для,,
亏,быть недостаточным,,
工,работа,,
土,земля,,
士,учёный,,
才,талант,только; лишь,
下,низкий,,
寸,цунь,,
大,большой,,
丈,чжан,,
与,и,давать,
万,десять тысяч,,
上,верхний,,
小,маленький,,
口,рот,,
山,гора,,
巾,полотенце,,
千,тысяча,,
乞,просить,,
川,река,,
亿,сто миллионов,,
个,счётное слово,отдельный,
夕,вечер,,
久,долгий,,
么,суффикс разговорных форм,вопросительная частица,
勺,черпак,,
凡,обычный,,
丸,шарик,,
及,догонять,,
广,широкий,,
亡,гибнуть,,
门,ворота,,
丫,рогулька,,
义,справедливость,,
之,книжная частица,его; этот,
尸,труп,,
己,себя,,
已,уже,прекращать,
巳,знак змеи,,
弓,лук,,
子,сын,,
卫,охранять,,
也,тоже,,
女,женщина,,
刃,остриё,,
飞,летать,,
习,учиться,,
叉,вилка,,
马,лошадь,,
乡,деревня,,
丰,богатый,,
王,король,,
开,открывать,начинать,
井,колодец,,
天,небо,,
夫,муж,мужчина,
元,юань,,
无,нет,без,
云,облако,,
专,специальный,,
丐,нищий,,
扎,уколоться,,
艺,искусство,,
木,дерево,,
五,пять,,
支,поддерживать,,
厅,зал,,
不,не,,
犬,собака,,
太,слишком,,
区,район,,
历,опыт,календарь,
歹,дурной,,
友,друг,,
尤,особенный,,
匹,единица,,
车,транспорт,,
巨,крупный,,
牙,зуб,,
屯,собирать,,
戈,клевец,,
比,сравнивать,чем; по сравнению,
互,взаимно,,
切,резать,,
瓦,черепица,,
止,стоять,,
少,мало,,
曰,говорить,,
日,день,солнце,
中,середина,внутри,
贝,раковина,,
冈,холм,,
内,внутренняя часть,,
水,вода,,
见,видеть,,
午,полдень,,
牛,крупный рогатый скот,,
手,рука,,
气,газ,,
毛,шерсть,,
壬,девятый небесный ствол,,
升,литр,,
夭,цветущий,,
长,длинный,расти,полифония cháng / zhǎng
仁,гуманность,,
什,десять,,
片,листок,,
仆,падать ничком,,
化,превращаться,,
仇,враг,,
币,деньги,,
仍,по-прежнему,,
仅,только,,
斤,цзинь,,
爪,коготь,,
反,опрокидываться,,
介,посредничать,,
父,отец,,
从,следовать,,
仑,только в сочетании,,
今,сегодняшний день,,
凶,преступный,,
分,делить,,
乏,не хватать,,
公,бескорыстный,,
仓,житница,,
月,луна,,
氏,род,,
勿,запретительная частица,,
欠,недоставать,,
风,ветер,,
丹,киноварь,,
匀,равный,,
乌,ворон,,
勾,вступать в сговор,,
凤,феникс самец,,
六,шесть,,
文,иероглифы,,
亢,высокий,,
方,квадрат,,
火,огонь,,
为,делать,для; ради,
斗,бороться,,
忆,думать,,
计,план,,
订,заключать,,
户,дверь,,
认,знать,,
冗,излишний,,
讥,высмеивать,,
心,сердце,,
尺,мерная линейка,,
引,натягивать,,
丑,безобразный,,
巴,боа,,
孔,щель,,
队,отряд,,
办,делать,,
以,с помощью,чтобы,
允,разрешать,,
予,оказывать,,
邓,сокр. Дэнсянь,,
劝,убеждать,,
双,два,,
书,книга,,
幻,иллюзия,,
玉,жад,,
刊,вырезать,,
未,ещё не,,
末,верхушка,,
示,выражать,,
击,бить,,
打,ударять,делать,
巧,обладающий мастерством,,
正,прямой,,
扑,бить,,
卉,травы,,
扒,копать,,
功,заслуга,,
扔,бросать,,
去,уходить,,
甘,сладкий,,
世,поколение,,
艾,полынь,,
古,древний,,
节,коленце,,
本,корень,,
术,искусство,,
可,модальный глагол возможности совершения действия,,
丙,бин,,
左,левый,,
厉,злой,,
石,камень,,
右,правый,,
布,ткань,,
夯,трамбовка,,
戊,кит. астр. пятый сектор неба,,
龙,дракон,,
平,ровный,,
灭,тухнуть,,
轧,теснить,,
东,восток,,
卡,карточка,,
北,север,,
占,занимать,,
凸,выступ,,
卢,убокое деревянное блюдо,,
业,дело,,
旧,старый,,
帅,руководить,,
归,уезжать назад,,
旦,утро,,
目,глаза,,
且,пока,,
叶,лист,,
甲,панцирь,первый небесный ствол,
申,шэнь,,
叮,жалить,,
电,электричество,,
号,прозвание,,
田,поле,,
由,сквозь,,
只,только,счётное слово,
叭,бах!,,
史,ория,,
央,просить,,
兄,старший брат,,
叽,закусывать,,
叼,держать во рту,,
叫,кричать,,
叩,класть земной поклон,,
叨,брюзжать,,
另,другой,,
叹,вздыхать в восхищении,,
冉,слабый,,
皿,сосуд,,
凹,вдавленный,,
囚,арестовать,,
四,четыре,,
生,родиться,,
矢,стрела,,
