является фонетико-семантическим компонентом,фонетик,汉字,部件1,部件2,部件3,部件4,部件5,部件6,部件7,部件8,部件9
Нет,,一,一,,,,,,,,
Нет,,乙,乙,,,,,,,,
Нет,,二,一,一,,,,,,,
Нет,,十,一,丨,,,,,,,
Нет,,丁,丁,,,,,,,,
Нет,,厂,一,丿,,,,,,,
Нет,,七,一,乚,,,,,,,
Нет,,卜,丨,丶,,,,,,,
Нет,,人,人,,,,,,,,
Нет,,入,入,,,,,,,,
Нет,,八,八,,,,,,,,
Нет,,九,丿,乙,,,,,,,
Нет,,几,几,,,,,,,,
Нет,,儿,丿,乚,,,,,,,
Нет,,了,了,,,,,,,,
Нет,,力,丿,𠃌,,,,,,,
Нет,,乃,乃,,,,,,,,
Нет,,刀,𠃌,丿,,,,,,,
Нет,,又,又,,,,,,,,
Нет,,三,一,二,,,,,,,
Нет,,于,于,,,,,,,,
Да,干,干,一,十,,,,,,,
Нет,,亏,一,丂,,,,,,,
Нет,,士,十,一,,,,,,,
Нет,,工,二,丨,,,,,,,
Нет,,土,十,一,,,,,,,
Нет,,才,才,,,,,,,,
Нет,,寸,寸,,,,,,,,
Нет,,下,一,卜,,,,,,,
Нет,,大,人,一,,,,,,,
Нет,,丈,一,乂,,,,,,,
Нет,,与,一,乙,一,,,,,,
Нет,,万,一,勹,,,,,,,
Нет,,上,一,丨,一,,,,,,
Нет,,小,小,,,,,,,,
Нет,,口,冂,一,,,,,,,
Нет,,巾,冂,丨,,,,,,,
Нет,,山,凵,丨,,,,,,,
Да,人,千,丿,十,,,,,,,
Нет,,乞,丿,一,乙,,,,,,
Нет,,川,丿,丨,丨,,,,,,
Да,意,亿,人,乙,,,,,,,
Да,古,个,人,丨,,,,,,,
Нет,,勺,勹,丶,,,,,,,
Нет,,久,丿,入,,,,,,,
Нет,,凡,几,丶,,,,,,,
Нет,,及,及,,,,,,,,
Нет,,夕,丿,丿,丶,,,,,,
Нет,,丸,丶,九,,,,,,,
Нет,,么,丿,厶,,,,,,,
Да,黄,广,丶,一,丿,,,,,,
Нет,,亡,亡,,,,,,,,
Нет,,门,丶,丨,𠃌,,,,,,
Да,我,义,丶,乂,,,,,,,
Нет,,之,之,,,,,,,,
Нет,,尸,𠃌,一,丿,,,,,,
Нет,,弓,𠃌,一,乙,,,,,,
Нет,,己,𠃌,一,乚,,,,,,
Нет,,已,𠃌,一,乚,,,,,,
Нет,,子,了,一,,,,,,,
Нет,,卫,卩,一,,,,,,,
Нет,,也,也,,,,,,,,
Нет,,女,𠃊,一,丿,,,,,,
Нет,,飞,乙,丷,,,,,,,
Нет,,刃,刀,丶,,,,,,,
Нет,,习,刁,丶,,,,,,,
Нет,,叉,又,丶,,,,,,,
Нет,,马,马,,,,,,,,
Нет,,乡,乡,,,,,,,,
Нет,,丰,三,丨,,,,,,,
Нет,,王,一,土,,,,,,,
Нет,,井,二,丿,丨,,,,,,
Да,开,开,一,廾,,,,,,,
Нет,,夫,一,大,,,,,,,
Нет,,天,一,大,,,,,,,
Нет,,无,一,尢,,,,,,,
Нет,,元,二,儿,,,,,,,
Нет,,专,专,,,,,,,,
Да,云,云,二,厶,,,,,,,
Да,札,扎,扌,乚,,,,,,,
Да,埶,艺,艹,乙,,,,,,,
Нет,,木,一,小,,,,,,,
Нет,,五,二,丨,𠃌,,,,,,
Нет,,支,十,又,,,,,,,
Нет,,厅,厂,丁,,,,,,,
Нет,,不,一,丿,丨,丶,,,,,
Нет,,太,大,丶,,,,,,,
Нет,,犬,大,丶,,,,,,,
Нет,,区,匚,乂,,,,,,,
Да,历,历,厂,力,,,,,,,
Нет,,尤,尢,丶,,,,,,,
Да,又,友,一,丿,又,,,,,,
Нет,,匹,匚,儿,,,,,,,
Нет,,车,车,,,,,,,,
Нет,,巨,匚,乛,一,,,,,,
Нет,,牙,牙,,,,,,,,
Нет,,屯,丿,凵,乚,,,,,,
Нет,,比,匕,匕,,,,,,,
Нет,,互,一,彑,,,,,,,
Да,七,切,七,刀,,,,,,,
Нет,,瓦,瓦,,,,,,,,
Нет,,止,上,丨,,,,,,,
Нет,,少,小,丿,,,,,,,
Нет,,日,口,一,,,,,,,
Нет,,中,口,丨,,,,,,,
Нет,,冈,冂,乂,,,,,,,
Нет,,贝,冂,人,,,,,,,
Да,入,内,冂,人,,,,,,,
Нет,,水,水,,,,,,,,
Нет,,见,冂,丿,乚,,,,,,
Нет,,午,丿,干,,,,,,,
Нет,,牛,丿,一,十,,,,,,
Нет,,手,手,,,,,,,,
Нет,,毛,丿,一,匕,,,,,,
Да,气,气,丿,一,乙,一,,,,,
Нет,,升,千,丨,,,,,,,
Нет,,长,长,,,,,,,,
Да,人,仁,人,二,,,,,,,
Да,十,什,人,十,,,,,,,
Нет,,片,丨,一,丿,𠃌,,,,,
Нет,,仆,人,卜,,,,,,,
Нет,,化,人,匕,,,,,,,
Да,九,仇,人,九,,,,,,,
Нет,,币,丿,巾,,,,,,,
Нет,,仍,人,乃,,,,,,,
Нет,,仅,人,又,,,,,,,
Нет,,斤,厂,一,丨,,,,,,
Нет,,爪,爪,,,,,,,,
Нет,,反,厂,又,,,,,,,
Нет,,介,人,丿,丨,,,,,,
Нет,,父,八,乂,,,,,,,
Нет,,从,人,人,,,,,,,
Нет,,今,人,丶,乛,,,,,,
Нет,,凶,凵,乂,,,,,,,
Нет,,分,八,刀,,,,,,,
Нет,,乏,丿,之,,,,,,,
Нет,,公,八,厶,,,,,,,
Нет,,仓,人,卩,,,,,,,
Нет,,月,冂,一,一,,,,,,
Нет,,氏,氏,,,,,,,,
Нет,,勿,勹,丿,丿,,,,,,
Нет,,欠,刀,人,,,,,,,
Нет,,风,几,乂,,,,,,,
Нет,,丹,冂,丶,一,,,,,,
Нет,,匀,勹,冫,,,,,,,
Нет,,乌,勹,乙,一,,,,,,
Нет,,凤,几,又,,,,,,,
Нет,,勾,勹,厶,,,,,,,
Нет,,文,亠,乂,,,,,,,
Нет,,六,亠,八,,,,,,,
Нет,,方,亠,勹,,,,,,,
Нет,,火,丷,人,,,,,,,
Нет,,为,丶,丿,𠃌,丶,,,,,
Да,斲,斗,丶,丶,十,,,,,,
Да,意,忆,忄,乙,,,,,,,
Да,丁,订,讠,丁,,,,,,,
Да,十,计,讠,十,,,,,,,
Нет,,户,丶,尸,,,,,,,
Нет,,认,讠,人,,,,,,,
Нет,,心,丿,乚,丶,丶,,,,,
Нет,,尺,尺,,,,,,,,
Нет,,引,弓,丨,,,,,,,
Нет,,丑,𠃌,一,丨,一,,,,,
Нет,,巴,巳,丨,,,,,,,
Нет,,孔,子,乙,,,,,,,
Да,㒸,队,阝,人,,,,,,,
Нет,,办,力,八,,,,,,,
Нет,,以,{⿰𠄌丶},人,,,,,,,
Нет,,允,厶,儿,,,,,,,
Нет,,予,予,,,,,,,,
Нет,,劝,又,力,,,,,,,
Нет,,双,又,又,,,,,,,
Да,者,书,𠃌,𠃌,丨,丶,,,,,
Нет,,幻,幺,𠃌,,,,,,,
Нет,,玉,王,丶,,,,,,,
Да,干,刊,干,刀,,,,,,,
Нет,,示,二,小,,,,,,,
Нет,,末,木,一,,,,,,,
Нет,,未,一,木,,,,,,,
Нет,,击,二,山,,,,,,,
Да,丁,打,扌,丁,,,,,,,
Нет,,巧,工,丂,,,,,,,
Да,丁,正,一,止,,,,,,,
Нет,,扑,扌,卜,,,,,,,
Да,八,扒,扌,八,,,,,,,
Да,工,功,工,力,,,,,,,
Нет,,扔,扌,乃,,,,,,,
Нет,,去,土,厶,,,,,,,
Нет,,甘,廿,一,,,,,,,
Нет,,世,世,,,,,,,,
Нет,,古,十,口,,,,,,,
Нет,,节,艹,𰆊,,,,,,,
Нет,,本,木,一,,,,,,,
Да,术,术,木,丶,,,,,,,
Нет,,可,丁,口,,,,,,,
Нет,,丙,一,人,冂,,,,,,
Да,左,左,一,丿,工,,,,,,
Да,万,厉,厂,万,,,,,,,
Да,又,右,一,丿,口,,,,,,
Нет,,石,一,丿,口,,,,,,
Нет,,布,一,丿,巾,,,,,,
Нет,,龙,尤,丿,,,,,,,
Нет,,平,干,丷,,,,,,,
Да,戌,灭,一,火,,,,,,,
Нет,,轧,车,乚,,,,,,,
Нет,,东,东,,,,,,,,
Нет,,卡,上,卜,,,,,,,
Нет,,北,{⿰二丨},匕,,,,,,,
Нет,,占,卜,口,,,,,,,
Нет,,业,丨,丨,丷,一,,,,,
Нет,,旧,丨,日,,,,,,,
Нет,,帅,丨,丿,巾,,,,,,
Нет,,归,丨,丿,彐,,,,,,
Нет,,且,月,一,,,,,,,
Нет,,旦,日,一,,,,,,,
Нет,,目,囗,二,,,,,,,
Да,十,叶,口,十,,,,,,,
Нет,,甲,囗,十,,,,,,,
Нет,,申,囗,十,,,,,,,
Да,丁,叮,口,丁,,,,,,,
Да,申,电,日,乚,,,,,,,
Да,号,号,口,丂,,,,,,,
Нет,,田,囗,十,,,,,,,
Нет,,由,囗,十,,,,,,,
Нет,,史,口,乂,,,,,,,
Нет,,只,口,八,,,,,,,
Нет,,央,冂,大,,,,,,,
Нет,,兄,口,儿,,,,,,,
Нет,,叼,口,刁,,,,,,,
Да,丩,叫,口,丩,,,,,,,
Нет,,另,口,力,,,,,,,
Нет,,叨,口,刀,,,,,,,
Да,𦰩,叹,口,又,,,,,,,
Нет,,四,囗,儿,,,,,,,
Нет,,生,牛,一,,,,,,,
Нет,,失,丿,夫,,,,,,,
Нет,,禾,丿,木,,,,,,,
Нет,,丘,厂,工,,,,,,,
Нет,,付,人,寸,,,,,,,
Да,丈,仗,人,丈,,,,,,,
Нет,,代,人,弋,,,,,,,
Да,山,仙,人,山,,,,,,,
Нет,,们,人,门,,,,,,,
Да,我,仪,人,义,,,,,,,
Нет,,白,丿,日,,,,,,,
Да,子,仔,人,子,,,,,,,
Нет,,他,人,也,,,,,,,
Нет,,斥,斤,丶,,,,,,,
Нет,,瓜,瓜,,,,,,,,
Нет,,乎,乎,,,,,,,,
Нет,,丛,人,人,一,,,,,,
Нет,,令,人,一,卩,,,,,,
Нет,,用,月,丨,,,,,,,
Нет,,甩,月,乚,,,,,,,
Нет,,印,卬,一,,,,,,,
Нет,,乐,匚,小,,,,,,,
Нет,,句,勹,口,,,,,,,
Нет,,匆,勿,丶,,,,,,,
Нет,,册,⺆,⺆,一,,,,,,
Нет,,犯,犭,卩,,,,,,,
Да,月,外,夕,卜,,,,,,,
Нет,,处,夕,卜,,,,,,,
Да,冬,冬,夂,冫,,,,,,,
Нет,,鸟,勹,丶,乙,一,,,,,
Нет,,务,夕,力,,,,,,,
Нет,,包,勹,己,,,,,,,
Нет,,饥,饣,几,,,,,,,
Нет,,主,丶,王,,,,,,,
Да,止,市,亠,巾,,,,,,,
Нет,,立,亠,丷,一,,,,,,
Нет,,闪,门,人,,,,,,,
Нет,,兰,丷,三,,,,,,,
Нет,,半,丷,一,十,,,,,,
Да,十,汁,氵,十,,,,,,,
Да,胃,汇,氵,匚,,,,,,,
Нет,,头,丶,丶,大,,,,,,
Да,𦰩,汉,氵,又,,,,,,,
Нет,,宁,宀,丁,,,,,,,
Нет,,穴,宀,八,,,,,,,
Нет,,它,宀,匕,,,,,,,
Да,肘,讨,讠,寸,,,,,,,
Нет,,写,冖,与,,,,,,,
Нет,,让,讠,上,,,,,,,
Да,豊,礼,礻,乚,,,,,,,
Да,川,训,讠,川,,,,,,,
Нет,,必,心,丿,,,,,,,
Да,我,议,讠,义,,,,,,,
Нет,,讯,讠,卂,,,,,,,
Да,己,记,讠,己,,,,,,,
Нет,,永,永,,,,,,,,
Нет,,司,𠃌,一,口,,,,,,
Нет,,尼,尸,匕,,,,,,,
Нет,,民,民,,,,,,,,
Нет,,出,山,凵,,,,,,,
Нет,,辽,辶,了,,,,,,,
Нет,,奶,女,乃,,,,,,,
Да,女,奴,女,又,,,,,,,
Нет,,加,力,口,,,,,,,
Нет,,召,刀,口,,,,,,,
Нет,,皮,丿,十,又,,,,,,
Да,臱,边,辶,力,,,,,,,
Нет,,发,发,,,,,,,,
Нет,,孕,乃,子,,,,,,,
Да,又,圣,又,土,,,,,,,
Нет,,对,又,寸,,,,,,,
Да,之,台,厶,口,,,,,,,
Нет,,矛,予,丿,,,,,,,
Да,丩,纠,纟,丩,,,,,,,
Нет,,母,母,,,,,,,,
Нет,,幼,幺,力,,,,,,,
Нет,,丝,丝,,,,,,,,
Нет,,式,弋,工,,,,,,,
Да,耕,刑,开,刀,,,,,,,
Нет,,动,云,力,,,,,,,
Да,工,扛,扌,工,,,,,,,
Да,之,寺,土,寸,,,,,,,
Нет,,吉,士,口,,,,,,,
Да,口,扣,扌,口,,,,,,,
Нет,,考,耂,丂,,,,,,,
Нет,,托,扌,乇,,,,,,,
Нет,,老,耂,匕,,,,,,,
Нет,,执,扌,丸,,,,,,,
Да,工,巩,工,凡,,,,,,,
Нет,,圾,土,及,,,,,,,
Да,黄,扩,扌,广,,,,,,,
Нет,,扫,扌,彐,,,,,,,
Нет,,地,土,也,,,,,,,
Да,昜,扬,扌,𠃓,,,,,,,
Да,昜,场,土,𠃓,,,,,,,
Нет,,耳,耳,,,,,,,,
Нет,,共,井,八,,,,,,,
Да,亡,芒,艹,亡,,,,,,,
Нет,,亚,一,业,,,,,,,
Да,之,芝,艹,之,,,,,,,
Нет,,朽,木,丂,,,,,,,
Нет,,朴,木,卜,,,,,,,
Нет,,机,木,几,,,,,,,
Нет,,权,木,又,,,,,,,
Нет,,过,辶,寸,,,,,,,
Нет,,臣,巨,丨,丨,,,,,,
Нет,,再,一,冂,十,一,,,,,
Нет,,协,十,办,,,,,,,
Нет,,西,一,四,,,,,,,
Нет,,压,厂,土,丶,,,,,,
Нет,,厌,厂,犬,,,,,,,
Нет,,在,一,人,土,,,,,,
Да,又,有,一,丿,月,,,,,,
Да,白,百,一,白,,,,,,,
Нет,,存,一,人,子,,,,,,
Нет,,而,一,丶,冂,丨,丨,,,,
